date,count
2016/05/24,14720
2016/05/25,17486
2016/05/26,12906
2016/05/27,2854
2016/05/28,2237
2016/05/29,1730
2016/05/30,1325
2016/05/31,2793
2016/06/01,1275
2016/06/02,4273
2016/06/03,16283
2016/06/04,4843
2016/06/05,8456
2016/06/06,9941
2016/06/07,16676
2016/06/08,3934
2016/06/09,9394
2016/06/10,9417
2016/06/11,16304
2016/06/12,10722
2016/06/13,11711
2016/06/14,8512
2016/06/16,2447
2016/06/17,3092
2016/06/20,4258
2016/06/21,10264
2016/06/22,9087
2016/06/23,18246
2016/06/24,6341
2016/06/27,18815
2016/06/28,32414
2016/06/29,4740
2016/06/30,23394
2016/07/01,34863
2016/07/02,10717
2016/07/03,17213
2016/07/04,12331
2016/07/05,31732
2016/07/06,16414
2016/07/07,16605
2016/07/08,13963
2016/07/09,12366
2016/07/10,14349
2016/07/11,23284
2016/07/12,22100
2016/07/14,7536
2016/07/15,21300
2016/07/16,8656
2016/07/17,10580
2016/07/18,26698
2016/07/19,22546
2016/07/20,12571
2016/07/21,13829
2016/07/22,9364
2016/07/23,3795
2016/07/26,23973
2016/07/27,12970
2016/07/28,13883
2016/07/29,24039
2016/07/30,15243
2016/07/31,6803
2016/08/01,3243
2016/08/02,13288
2016/08/03,2957
2016/08/04,10024
2016/08/08,22103
2016/08/09,14371
2016/08/10,3937
2016/08/11,8210
2016/08/12,5149
2016/08/13,3282
2016/08/14,5939
2016/08/15,15665
2016/08/16,21960
2016/08/17,11915
2016/08/18,7913
2016/08/19,26644
2016/08/20,3625
2016/08/21,9229
2016/08/22,20244
2016/08/23,18578
2016/08/24,17513
2016/08/25,5030
2016/08/26,894
2016/08/27,13361
2016/08/28,785
2016/08/29,5253
2016/08/30,14267
2016/08/31,14263
2016/09/01,8738
2016/09/02,13614
2016/09/03,6130
2016/09/04,3484
2016/09/06,18088
2016/09/07,9647
2016/09/08,15736
2016/09/09,22799
2016/09/10,3848
2016/09/11,24
2016/09/13,13739
2016/09/14,10113
2016/09/15,8979
2016/09/16,2371
2016/09/17,3814
2016/09/18,4432
2016/09/20,165
2016/09/24,4502
2016/09/26,5801
2016/09/27,10472
2016/09/28,11972
2016/09/29,14287
2016/09/30,8831
2016/10/01,5587
2016/10/02,8049
2016/10/03,11531
2016/10/04,14423
2016/10/05,11949
2016/10/06,7566
2016/10/07,14407
2016/10/08,14780
2016/10/09,5489
2016/10/10,5390
2016/10/11,14404
2016/10/12,4010
2016/10/13,10236
2016/10/14,11313
2016/10/15,6820
